"Date_Time","Time","Sensor","Count"
2016-01-09 17:00:00,17,"Bourke Street Mall (North)",1597
2016-01-09 17:00:00,17,"Melbourne Central",2395
2016-01-09 18:00:00,18,"Bourke Street Mall (North)",1232
2016-01-09 18:00:00,18,"Melbourne Central",2260
2016-01-09 19:00:00,19,"Bourke Street Mall (North)",829
2016-01-09 19:00:00,19,"Melbourne Central",2311
2016-01-09 20:00:00,20,"Bourke Street Mall (North)",373
2016-01-09 20:00:00,20,"Melbourne Central",2117
2016-01-09 21:00:00,21,"Bourke Street Mall (North)",223
2016-01-09 21:00:00,21,"Melbourne Central",1915
2016-01-09 22:00:00,22,"Bourke Street Mall (North)",299
2016-01-09 22:00:00,22,"Melbourne Central",1791
2016-01-09 23:00:00,23,"Bourke Street Mall (North)",264
2016-01-09 23:00:00,23,"Melbourne Central",1519
2016-01-10 00:00:00,0,"Bourke Street Mall (North)",146
2016-01-10 00:00:00,0,"Melbourne Central",925
2016-01-10 01:00:00,1,"Bourke Street Mall (North)",97
2016-01-10 01:00:00,1,"Melbourne Central",579
2016-01-10 02:00:00,2,"Bourke Street Mall (North)",76
2016-01-10 02:00:00,2,"Melbourne Central",418
2016-01-10 03:00:00,3,"Bourke Street Mall (North)",65
2016-01-10 03:00:00,3,"Melbourne Central",337
2016-01-10 04:00:00,4,"Bourke Street Mall (North)",47
2016-01-10 04:00:00,4,"Melbourne Central",92
2016-01-10 05:00:00,5,"Bourke Street Mall (North)",20
2016-01-10 05:00:00,5,"Melbourne Central",99
2016-01-10 06:00:00,6,"Bourke Street Mall (North)",27
2016-01-10 06:00:00,6,"Melbourne Central",92
2016-01-10 07:00:00,7,"Bourke Street Mall (North)",44
2016-01-10 07:00:00,7,"Melbourne Central",126
2016-01-10 08:00:00,8,"Bourke Street Mall (North)",117
2016-01-10 08:00:00,8,"Melbourne Central",209
2016-01-10 09:00:00,9,"Bourke Street Mall (North)",323
2016-01-10 09:00:00,9,"Melbourne Central",425
2016-01-10 10:00:00,10,"Bourke Street Mall (North)",574
2016-01-10 10:00:00,10,"Melbourne Central",793
2016-01-10 11:00:00,11,"Bourke Street Mall (North)",1033
2016-01-10 11:00:00,11,"Melbourne Central",907
2016-01-10 12:00:00,12,"Bourke Street Mall (North)",1304
2016-01-10 12:00:00,12,"Melbourne Central",1465
2016-01-10 13:00:00,13,"Bourke Street Mall (North)",1491
2016-01-10 13:00:00,13,"Melbourne Central",1949
2016-01-10 14:00:00,14,"Bourke Street Mall (North)",1800
2016-01-10 14:00:00,14,"Melbourne Central",2044
2016-01-10 15:00:00,15,"Bourke Street Mall (North)",1576
2016-01-10 15:00:00,15,"Melbourne Central",2116
2016-01-10 16:00:00,16,"Bourke Street Mall (North)",1466
2016-01-10 16:00:00,16,"Melbourne Central",1904
2016-01-10 17:00:00,17,"Bourke Street Mall (North)",1232
2016-01-10 17:00:00,17,"Melbourne Central",1952
2016-01-10 18:00:00,18,"Bourke Street Mall (North)",915
2016-01-10 18:00:00,18,"Melbourne Central",1912
2016-01-10 19:00:00,19,"Bourke Street Mall (North)",496
2016-01-10 19:00:00,19,"Melbourne Central",1951
2016-01-10 20:00:00,20,"Bourke Street Mall (North)",233
2016-01-10 20:00:00,20,"Melbourne Central",1632
2016-01-10 21:00:00,21,"Bourke Street Mall (North)",239
2016-01-10 21:00:00,21,"Melbourne Central",1292
2016-01-10 22:00:00,22,"Bourke Street Mall (North)",121
